Defect_ID,Creation_Date,Module,Severity,Status,Resolution_Date,Creation_Month
BUG-1053,2026-04-02 09:08:57.231157,API Gateway,Medium,Closed,2026-04-13 09:08:57.231157,2026-04
BUG-1054,2026-04-21 09:08:57.231157,Authentication,Critical,Closed,2026-04-30 09:08:57.231157,2026-04
BUG-1055,2026-06-21 09:08:57.231157,Notification Engine,Medium,Open,,2026-06
BUG-1056,2026-01-08 09:08:57.231157,Notification Engine,Low,Closed,2026-01-18 09:08:57.231157,2026-01
BUG-1057,2026-06-24 09:08:57.231157,Notification Engine,Medium,Closed,2026-06-29 09:08:57.231157,2026-06
BUG-1058,2026-02-04 09:08:57.231157,Authentication,Medium,Open,,2026-02
BUG-1059,2026-03-22 09:08:57.231157,API Gateway,High,Closed,2026-04-05 09:08:57.231157,2026-03
BUG-1060,2026-06-13 09:08:57.231157,Dashboard UI,Medium,Closed,2026-06-20 09:08:57.231157,2026-06
BUG-1061,2026-02-19 09:08:57.231157,API Gateway,Medium,Resolved,2026-03-02 09:08:57.231157,2026-02
BUG-1062,2026-04-14 09:08:57.231157,Notification Engine,Low,Closed,2026-04-25 09:08:57.231157,2026-04
BUG-1063,2026-05-12 09:08:57.231157,API Gateway,Medium,Closed,2026-05-14 09:08:57.231157,2026-05
BUG-1064,2026-01-02 09:08:57.231157,API Gateway,Medium,Closed,2026-01-11 09:08:57.231157,2026-01
BUG-1065,2026-05-14 09:08:57.231157,Notification Engine,Low,Closed,2026-05-27 09:08:57.231157,2026-05
BUG-1066,2026-02-23 09:08:57.231157,API Gateway,Critical,Closed,2026-03-04 09:08:57.231157,2026-02
BUG-1067,2026-04-16 09:08:57.231157,Dashboard UI,Medium,Closed,2026-04-20 09:08:57.231157,2026-04
BUG-1068,2026-01-04 09:08:57.231157,Billing & Payments,Medium,Closed,2026-01-08 09:08:57.231157,2026-01
BUG-1069,2026-02-23 09:08:57.231157,Billing & Payments,High,Closed,2026-03-01 09:08:57.231157,2026-02
BUG-1070,2026-05-26 09:08:57.231157,Notification Engine,Medium,Resolved,2026-06-05 09:08:57.231157,2026-05
BUG-1071,2026-02-13 09:08:57.231157,Authentication,High,Open,,2026-02
BUG-1072,2026-06-11 09:08:57.231157,Dashboard UI,Medium,Closed,2026-06-21 09:08:57.231157,2026-06
BUG-1073,2026-01-14 09:08:57.231157,Billing & Payments,Low,Closed,2026-01-24 09:08:57.231157,2026-01
BUG-1074,2026-04-05 09:08:57.231157,Dashboard UI,Medium,Open,,2026-04
BUG-1075,2026-02-17 09:08:57.231157,Notification Engine,Medium,Closed,2026-02-23 09:08:57.231157,2026-02
BUG-1076,2026-01-15 09:08:57.231157,Notification Engine,High,Closed,2026-01-27 09:08:57.231157,2026-01
BUG-1077,2026-02-09 09:08:57.231157,Billing & Payments,Low,Resolved,2026-02-10 09:08:57.231157,2026-02
BUG-1078,2026-03-23 09:08:57.231157,Notification Engine,Low,Closed,2026-04-06 09:08:57.231157,2026-03
BUG-1079,2026-04-21 09:08:57.231157,Dashboard UI,Low,Open,,2026-04
BUG-1080,2026-02-22 09:08:57.231157,Billing & Payments,Low,Resolved,2026-03-08 09:08:57.231157,2026-02
BUG-1081,2026-01-24 09:08:57.231157,API Gateway,High,Closed,2026-02-02 09:08:57.231157,2026-01
BUG-1082,2026-06-03 09:08:57.231157,Dashboard UI,Low,Closed,2026-06-05 09:08:57.231157,2026-06
BUG-1083,2026-05-04 09:08:57.231157,Billing & Payments,Medium,Closed,2026-05-09 09:08:57.231157,2026-05
BUG-1084,2026-02-10 09:08:57.231157,API Gateway,Medium,In Progress,,2026-02
BUG-1085,2026-06-06 09:08:57.231157,Billing & Payments,Medium,In Progress,,2026-06
BUG-1086,2026-01-15 09:08:57.231157,Billing & Payments,High,In Progress,,2026-01
BUG-1087,2026-02-14 09:08:57.231157,Dashboard UI,Medium,Closed,2026-02-23 09:08:57.231157,2026-02
BUG-1088,2026-03-06 09:08:57.231157,Billing & Payments,High,In Progress,,2026-03
BUG-1089,2026-03-30 09:08:57.231157,Dashboard UI,Medium,Resolved,2026-04-03 09:08:57.231157,2026-03
BUG-1090,2026-03-12 09:08:57.231157,Dashboard UI,Medium,Open,,2026-03
BUG-1091,2026-01-09 09:08:57.231157,API Gateway,Critical,Resolved,2026-01-20 09:08:57.231157,2026-01
BUG-1092,2026-03-29 09:08:57.231157,API Gateway,Low,In Progress,,2026-03
BUG-1093,2026-05-09 09:08:57.231157,API Gateway,Low,Open,,2026-05
BUG-1094,2026-05-16 09:08:57.231157,API Gateway,High,Closed,2026-05-19 09:08:57.231157,2026-05
BUG-1095,2026-03-04 09:08:57.231157,API Gateway,Low,Closed,2026-03-11 09:08:57.231157,2026-03
BUG-1096,2026-05-19 09:08:57.231157,Billing & Payments,High,Closed,2026-05-25 09:08:57.231157,2026-05
BUG-1097,2026-03-22 09:08:57.231157,Dashboard UI,Medium,Open,,2026-03
BUG-1098,2026-05-16 09:08:57.231157,Dashboard UI,Critical,Closed,2026-05-24 09:08:57.231157,2026-05
BUG-1099,2026-06-12 09:08:57.231157,Authentication,High,In Progress,,2026-06
BUG-1100,2026-06-12 09:08:57.231157,Dashboard UI,Medium,Resolved,2026-06-15 09:08:57.231157,2026-06
BUG-1101,2026-02-02 09:08:57.231157,Dashboard UI,Critical,In Progress,,2026-02
BUG-1102,2026-05-03 09:08:57.231157,API Gateway,Medium,Closed,2026-05-08 09:08:57.231157,2026-05
BUG-1103,2026-01-05 09:08:57.231157,Notification Engine,Critical,Closed,2026-01-15 09:08:57.231157,2026-01
BUG-1104,2026-02-10 09:08:57.231157,Dashboard UI,Low,Closed,2026-02-14 09:08:57.231157,2026-02
BUG-1105,2026-01-28 09:08:57.231157,Billing & Payments,Medium,Open,,2026-01
BUG-1106,2026-05-15 09:08:57.231157,Authentication,Low,In Progress,,2026-05
BUG-1107,2026-03-13 09:08:57.231157,Notification Engine,Medium,Resolved,2026-03-26 09:08:57.231157,2026-03
BUG-1108,2026-01-12 09:08:57.231157,Notification Engine,Low,Closed,2026-01-16 09:08:57.231157,2026-01
BUG-1109,2026-06-11 09:08:57.231157,Billing & Payments,High,Resolved,2026-06-15 09:08:57.231157,2026-06
BUG-1110,2026-02-02 09:08:57.231157,API Gateway,High,In Progress,,2026-02
BUG-1111,2026-02-17 09:08:57.231157,Authentication,Critical,Closed,2026-02-27 09:08:57.231157,2026-02
BUG-1112,2026-05-31 09:08:57.231157,Billing & Payments,Low,In Progress,,2026-05
BUG-1113,2026-03-03 09:08:57.231157,Billing & Payments,Medium,Closed,2026-03-11 09:08:57.231157,2026-03
BUG-1114,2026-02-06 09:08:57.231157,Billing & Payments,Medium,Closed,2026-02-12 09:08:57.231157,2026-02
BUG-1115,2026-04-09 09:08:57.231157,Notification Engine,Medium,Open,,2026-04
BUG-1116,2026-06-21 09:08:57.231157,API Gateway,Medium,Closed,2026-06-24 09:08:57.231157,2026-06
BUG-1117,2026-04-14 09:08:57.231157,Billing & Payments,Medium,Open,,2026-04
BUG-1118,2026-02-04 09:08:57.231157,API Gateway,High,Open,,2026-02
BUG-1119,2026-04-11 09:08:57.231157,Notification Engine,Medium,Closed,2026-04-21 09:08:57.231157,2026-04
BUG-1120,2026-06-24 09:08:57.231157,Notification Engine,Medium,Closed,2026-06-29 09:08:57.231157,2026-06
BUG-1121,2026-05-11 09:08:57.231157,Authentication,Low,Closed,2026-05-17 09:08:57.231157,2026-05
BUG-1122,2026-01-01 09:08:57.231157,Billing & Payments,Low,Closed,2026-01-06 09:08:57.231157,2026-01
BUG-1123,2026-01-05 09:08:57.231157,Authentication,Low,Closed,2026-01-11 09:08:57.231157,2026-01
BUG-1124,2026-05-22 09:08:57.231157,Billing & Payments,Critical,Closed,2026-05-30 09:08:57.231157,2026-05
BUG-1125,2026-04-13 09:08:57.231157,Billing & Payments,Low,Closed,2026-04-20 09:08:57.231157,2026-04
BUG-1126,2026-01-27 09:08:57.231157,API Gateway,Low,Closed,2026-02-01 09:08:57.231157,2026-01
BUG-1127,2026-05-17 09:08:57.231157,Billing & Payments,Medium,Closed,2026-05-27 09:08:57.231157,2026-05
BUG-1128,2026-01-15 09:08:57.231157,Billing & Payments,High,Open,,2026-01
BUG-1129,2026-03-31 09:08:57.231157,Billing & Payments,Critical,In Progress,,2026-03
BUG-1130,2026-02-11 09:08:57.231157,Billing & Payments,High,Closed,2026-02-17 09:08:57.231157,2026-02
BUG-1131,2026-05-04 09:08:57.231157,Billing & Payments,Medium,Closed,2026-05-18 09:08:57.231157,2026-05
BUG-1132,2026-06-28 09:08:57.231157,Dashboard UI,Medium,Resolved,2026-07-02 09:08:57.231157,2026-06
BUG-1133,2026-03-04 09:08:57.231157,Authentication,Low,In Progress,,2026-03
BUG-1134,2026-04-06 09:08:57.231157,Billing & Payments,Critical,Resolved,2026-04-18 09:08:57.231157,2026-04
BUG-1135,2026-02-21 09:08:57.231157,Dashboard UI,High,In Progress,,2026-02
BUG-1136,2026-04-06 09:08:57.231157,API Gateway,Medium,Closed,2026-04-15 09:08:57.231157,2026-04
BUG-1137,2026-05-12 09:08:57.231157,Billing & Payments,High,Closed,2026-05-25 09:08:57.231157,2026-05
BUG-1138,2026-05-31 09:08:57.231157,Authentication,High,Closed,2026-06-04 09:08:57.231157,2026-05
BUG-1139,2026-05-23 09:08:57.231157,Authentication,Medium,Closed,2026-05-24 09:08:57.231157,2026-05
BUG-1140,2026-06-20 09:08:57.231157,Notification Engine,Critical,Closed,2026-06-27 09:08:57.231157,2026-06
BUG-1141,2026-01-29 09:08:57.231157,Dashboard UI,Critical,Closed,2026-02-05 09:08:57.231157,2026-01
BUG-1142,2026-02-05 09:08:57.231157,Dashboard UI,Medium,Closed,2026-02-09 09:08:57.231157,2026-02
BUG-1143,2026-01-13 09:08:57.231157,Notification Engine,Medium,Open,,2026-01
BUG-1144,2026-06-09 09:08:57.231157,Authentication,Low,Open,,2026-06
BUG-1145,2026-03-12 09:08:57.231157,Notification Engine,Medium,Closed,2026-03-25 09:08:57.231157,2026-03
BUG-1146,2026-03-27 09:08:57.231157,Dashboard UI,Low,In Progress,,2026-03
BUG-1147,2026-01-28 09:08:57.231157,Billing & Payments,Medium,Closed,2026-02-11 09:08:57.231157,2026-01
BUG-1148,2026-03-07 09:08:57.231157,Dashboard UI,Critical,In Progress,,2026-03
BUG-1149,2026-06-19 09:08:57.231157,API Gateway,Medium,Closed,2026-06-22 09:08:57.231157,2026-06
BUG-1150,2026-02-14 09:08:57.231157,Dashboard UI,Medium,Resolved,2026-02-22 09:08:57.231157,2026-02
BUG-1151,2026-03-03 09:08:57.231157,Notification Engine,Medium,Open,,2026-03
BUG-1152,2026-05-14 09:08:57.231157,Billing & Payments,Low,Closed,2026-05-19 09:08:57.231157,2026-05
BUG-1153,2026-01-28 09:08:57.231157,API Gateway,High,Closed,2026-02-07 09:08:57.231157,2026-01
BUG-1154,2026-01-28 09:08:57.231157,Billing & Payments,Low,Closed,2026-02-04 09:08:57.231157,2026-01
BUG-1155,2026-04-18 09:08:57.231157,API Gateway,Low,Closed,2026-04-22 09:08:57.231157,2026-04
BUG-1156,2026-02-13 09:08:57.231157,Dashboard UI,Medium,Closed,2026-02-17 09:08:57.231157,2026-02
BUG-1157,2026-03-25 09:08:57.231157,Authentication,High,Open,,2026-03
BUG-1158,2026-01-30 09:08:57.231157,Authentication,High,Closed,2026-02-07 09:08:57.231157,2026-01
BUG-1159,2026-03-16 09:08:57.231157,Authentication,Low,Open,,2026-03
BUG-1160,2026-05-08 09:08:57.231157,Authentication,Medium,Resolved,2026-05-22 09:08:57.231157,2026-05
BUG-1161,2026-04-02 09:08:57.231157,Authentication,Medium,Closed,2026-04-10 09:08:57.231157,2026-04
BUG-1162,2026-05-09 09:08:57.231157,API Gateway,Medium,Closed,2026-05-11 09:08:57.231157,2026-05
BUG-1163,2026-05-01 09:08:57.231157,Dashboard UI,Medium,Closed,2026-05-15 09:08:57.231157,2026-05
BUG-1164,2026-01-27 09:08:57.231157,API Gateway,Medium,Open,,2026-01
BUG-1165,2026-05-01 09:08:57.231157,Notification Engine,Medium,Closed,2026-05-03 09:08:57.231157,2026-05
BUG-1166,2026-04-26 09:08:57.231157,Dashboard UI,Medium,Resolved,2026-04-29 09:08:57.231157,2026-04
BUG-1167,2026-01-03 09:08:57.231157,API Gateway,High,In Progress,,2026-01
BUG-1168,2026-04-13 09:08:57.231157,API Gateway,Medium,Closed,2026-04-25 09:08:57.231157,2026-04
BUG-1169,2026-06-04 09:08:57.231157,Billing & Payments,Medium,Closed,2026-06-16 09:08:57.231157,2026-06
BUG-1170,2026-05-17 09:08:57.231157,Billing & Payments,Medium,In Progress,,2026-05
BUG-1171,2026-03-03 09:08:57.231157,Billing & Payments,Medium,In Progress,,2026-03
BUG-1172,2026-06-14 09:08:57.231157,Billing & Payments,High,Closed,2026-06-17 09:08:57.231157,2026-06
BUG-1173,2026-02-20 09:08:57.231157,Billing & Payments,Medium,Closed,2026-02-21 09:08:57.231157,2026-02
BUG-1174,2026-06-21 09:08:57.231157,Billing & Payments,Medium,In Progress,,2026-06
BUG-1175,2026-06-01 09:08:57.231157,Notification Engine,High,Closed,2026-06-15 09:08:57.231157,2026-06
BUG-1176,2026-02-28 09:08:57.231157,API Gateway,Medium,Resolved,2026-03-03 09:08:57.231157,2026-02
BUG-1177,2026-04-28 09:08:57.231157,Authentication,Medium,Closed,2026-05-04 09:08:57.231157,2026-04
BUG-1178,2026-06-09 09:08:57.231157,Billing & Payments,High,Closed,2026-06-17 09:08:57.231157,2026-06
BUG-1179,2026-04-06 09:08:57.231157,Authentication,Medium,In Progress,,2026-04
BUG-1180,2026-06-29 09:08:57.231157,Dashboard UI,Medium,Closed,2026-07-12 09:08:57.231157,2026-06
BUG-1181,2026-04-23 09:08:57.231157,Dashboard UI,Critical,Closed,2026-05-05 09:08:57.231157,2026-04
BUG-1182,2026-03-03 09:08:57.231157,API Gateway,Low,Closed,2026-03-17 09:08:57.231157,2026-03
BUG-1183,2026-02-21 09:08:57.231157,Billing & Payments,Low,Closed,2026-03-03 09:08:57.231157,2026-02
BUG-1184,2026-01-12 09:08:57.231157,API Gateway,Medium,Open,,2026-01
BUG-1185,2026-02-08 09:08:57.231157,Notification Engine,Critical,Closed,2026-02-14 09:08:57.231157,2026-02
BUG-1186,2026-05-10 09:08:57.231157,Authentication,Low,Closed,2026-05-15 09:08:57.231157,2026-05
BUG-1187,2026-05-11 09:08:57.231157,API Gateway,Low,In Progress,,2026-05
BUG-1188,2026-04-23 09:08:57.231157,Dashboard UI,Low,Open,,2026-04
BUG-1189,2026-04-11 09:08:57.231157,Dashboard UI,Low,Closed,2026-04-15 09:08:57.231157,2026-04
BUG-1190,2026-04-23 09:08:57.231157,Dashboard UI,Low,Closed,2026-04-26 09:08:57.231157,2026-04
BUG-1191,2026-03-22 09:08:57.231157,API Gateway,Medium,Resolved,2026-04-04 09:08:57.231157,2026-03
BUG-1192,2026-04-23 09:08:57.231157,API Gateway,Medium,In Progress,,2026-04
BUG-1193,2026-01-02 09:08:57.231157,API Gateway,Low,Closed,2026-01-06 09:08:57.231157,2026-01
BUG-1194,2026-05-10 09:08:57.231157,Notification Engine,Medium,Closed,2026-05-24 09:08:57.231157,2026-05
BUG-1195,2026-02-23 09:08:57.231157,API Gateway,Low,Closed,2026-03-02 09:08:57.231157,2026-02
BUG-1196,2026-03-28 09:08:57.231157,Notification Engine,Medium,Open,,2026-03
BUG-1197,2026-05-09 09:08:57.231157,API Gateway,Medium,In Progress,,2026-05
BUG-1198,2026-05-27 09:08:57.231157,API Gateway,High,Open,,2026-05
BUG-1199,2026-05-06 09:08:57.231157,Dashboard UI,Low,In Progress,,2026-05
BUG-1200,2026-05-10 09:08:57.231157,Authentication,Medium,In Progress,,2026-05
BUG-1201,2026-02-22 09:08:57.231157,API Gateway,Low,Closed,2026-02-23 09:08:57.231157,2026-02
BUG-1202,2026-06-21 09:08:57.231157,Dashboard UI,High,Closed,2026-06-28 09:08:57.231157,2026-06
BUG-1203,2026-06-09 09:08:57.231157,Dashboard UI,High,Closed,2026-06-10 09:08:57.231157,2026-06
BUG-1204,2026-06-09 09:08:57.231157,Notification Engine,Medium,Closed,2026-06-11 09:08:57.231157,2026-06
BUG-1205,2026-03-09 09:08:57.231157,Billing & Payments,Low,In Progress,,2026-03
BUG-1206,2026-05-03 09:08:57.231157,Dashboard UI,Critical,Closed,2026-05-07 09:08:57.231157,2026-05
BUG-1207,2026-05-25 09:08:57.231157,API Gateway,Low,Closed,2026-05-26 09:08:57.231157,2026-05
BUG-1208,2026-02-07 09:08:57.231157,API Gateway,Low,Closed,2026-02-18 09:08:57.231157,2026-02
BUG-1209,2026-01-24 09:08:57.231157,Dashboard UI,Medium,Closed,2026-02-05 09:08:57.231157,2026-01
BUG-1210,2026-03-10 09:08:57.231157,API Gateway,Low,Closed,2026-03-21 09:08:57.231157,2026-03
BUG-1211,2026-04-26 09:08:57.231157,API Gateway,Critical,Closed,2026-05-07 09:08:57.231157,2026-04
BUG-1212,2026-04-08 09:08:57.231157,Authentication,High,Open,,2026-04
BUG-1213,2026-05-19 09:08:57.231157,Authentication,Low,Closed,2026-05-28 09:08:57.231157,2026-05
BUG-1214,2026-05-24 09:08:57.231157,API Gateway,Medium,Open,,2026-05
BUG-1215,2026-04-07 09:08:57.231157,Billing & Payments,Critical,Closed,2026-04-19 09:08:57.231157,2026-04
BUG-1216,2026-05-04 09:08:57.231157,Billing & Payments,High,Closed,2026-05-10 09:08:57.231157,2026-05
BUG-1217,2026-03-11 09:08:57.231157,Dashboard UI,Medium,Closed,2026-03-24 09:08:57.231157,2026-03
BUG-1218,2026-04-03 09:08:57.231157,Billing & Payments,Critical,Closed,2026-04-04 09:08:57.231157,2026-04
BUG-1219,2026-01-03 09:08:57.231157,Dashboard UI,Critical,Open,,2026-01
BUG-1220,2026-05-28 09:08:57.231157,Dashboard UI,High,Closed,2026-05-29 09:08:57.231157,2026-05
BUG-1221,2026-06-13 09:08:57.231157,Dashboard UI,Low,Closed,2026-06-19 09:08:57.231157,2026-06
BUG-1222,2026-05-27 09:08:57.231157,Dashboard UI,Medium,Open,,2026-05
BUG-1223,2026-03-31 09:08:57.231157,API Gateway,High,Closed,2026-04-04 09:08:57.231157,2026-03
BUG-1224,2026-05-27 09:08:57.231157,Billing & Payments,Low,Closed,2026-05-31 09:08:57.231157,2026-05
BUG-1225,2026-05-28 09:08:57.231157,API Gateway,High,In Progress,,2026-05
BUG-1226,2026-04-06 09:08:57.231157,Dashboard UI,Low,Open,,2026-04
BUG-1227,2026-02-21 09:08:57.231157,Notification Engine,Low,Closed,2026-03-04 09:08:57.231157,2026-02
BUG-1228,2026-06-10 09:08:57.231157,Dashboard UI,Medium,Resolved,2026-06-16 09:08:57.231157,2026-06
BUG-1229,2026-06-17 09:08:57.231157,Notification Engine,Low,In Progress,,2026-06
BUG-1230,2026-05-08 09:08:57.231157,API Gateway,Critical,Closed,2026-05-22 09:08:57.231157,2026-05
BUG-1231,2026-02-08 09:08:57.231157,Billing & Payments,High,Open,,2026-02
BUG-1232,2026-03-23 09:08:57.231157,API Gateway,High,Closed,2026-04-04 09:08:57.231157,2026-03
BUG-1233,2026-04-14 09:08:57.231157,Billing & Payments,Medium,Closed,2026-04-25 09:08:57.231157,2026-04
BUG-1234,2026-05-09 09:08:57.231157,Billing & Payments,Low,Closed,2026-05-16 09:08:57.231157,2026-05
BUG-1235,2026-01-11 09:08:57.231157,Authentication,Medium,Closed,2026-01-20 09:08:57.231157,2026-01
BUG-1236,2026-06-27 09:08:57.231157,Dashboard UI,Medium,Open,,2026-06
BUG-1237,2026-05-31 09:08:57.231157,Dashboard UI,Medium,Closed,2026-06-10 09:08:57.231157,2026-05
BUG-1238,2026-06-08 09:08:57.231157,Billing & Payments,Low,In Progress,,2026-06
BUG-1239,2026-02-11 09:08:57.231157,Notification Engine,Medium,Open,,2026-02
BUG-1240,2026-04-09 09:08:57.231157,Authentication,Medium,Closed,2026-04-14 09:08:57.231157,2026-04
BUG-1241,2026-01-07 09:08:57.231157,Billing & Payments,Critical,Open,,2026-01
BUG-1242,2026-05-24 09:08:57.231157,Billing & Payments,High,Closed,2026-06-02 09:08:57.231157,2026-05
BUG-1243,2026-03-31 09:08:57.231157,Authentication,Medium,Closed,2026-04-04 09:08:57.231157,2026-03
BUG-1244,2026-04-22 09:08:57.231157,Dashboard UI,Medium,Open,,2026-04
BUG-1245,2026-03-01 09:08:57.231157,API Gateway,High,Closed,2026-03-14 09:08:57.231157,2026-03
BUG-1246,2026-04-23 09:08:57.231157,Dashboard UI,Low,Closed,2026-05-03 09:08:57.231157,2026-04
BUG-1247,2026-01-02 09:08:57.231157,Billing & Payments,High,Closed,2026-01-04 09:08:57.231157,2026-01
BUG-1248,2026-05-09 09:08:57.231157,Billing & Payments,High,Closed,2026-05-12 09:08:57.231157,2026-05
BUG-1249,2026-02-17 09:08:57.231157,Authentication,Medium,Closed,2026-03-02 09:08:57.231157,2026-02
BUG-1250,2026-05-20 09:08:57.231157,Notification Engine,Medium,Closed,2026-05-31 09:08:57.231157,2026-05
BUG-1251,2026-02-06 09:08:57.231157,Authentication,Low,Resolved,2026-02-07 09:08:57.231157,2026-02
BUG-1252,2026-06-09 09:08:57.231157,Dashboard UI,Medium,Closed,2026-06-23 09:08:57.231157,2026-06
BUG-1253,2026-01-09 09:08:57.231157,Notification Engine,Low,Closed,2026-01-23 09:08:57.231157,2026-01
BUG-1254,2026-04-09 09:08:57.231157,Dashboard UI,High,Closed,2026-04-15 09:08:57.231157,2026-04
BUG-1255,2026-05-27 09:08:57.231157,Notification Engine,Low,Closed,2026-06-09 09:08:57.231157,2026-05
BUG-1256,2026-02-17 09:08:57.231157,Billing & Payments,Medium,Resolved,2026-02-23 09:08:57.231157,2026-02
